Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text
"witchling-dress","Witchling Dress (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","XS","Color","Midnight Purple","","","",witchling-dress-XS,"350",shopify,"30","deny",manual,24.99,,"TRUE",TRUE,""
"witchling-dress","Witchling Dress (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","S","Color","Midnight Purple","","","",witchling-dress-S,"350",shopify,"30","deny",manual,24.99,,"TRUE",TRUE,""
"witchling-dress","Witchling Dress (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","M","Color","Midnight Purple","","","",witchling-dress-M,"350",shopify,"30","deny",manual,24.99,,"TRUE",TRUE,""
"witchling-dress","Witchling Dress (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","L","Color","Midnight Purple","","","",witchling-dress-L,"350",shopify,"30","deny",manual,24.99,,"TRUE",TRUE,""
"skeleton-jumpsuit","Skeleton Jumpsuit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","XS","Color","Midnight Purple","","","",skeleton-jumpsuit-XS,"350",shopify,"30","deny",manual,22.99,,"TRUE",TRUE,""
"skeleton-jumpsuit","Skeleton Jumpsuit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","S","Color","Midnight Purple","","","",skeleton-jumpsuit-S,"350",shopify,"30","deny",manual,22.99,,"TRUE",TRUE,""
"skeleton-jumpsuit","Skeleton Jumpsuit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","M","Color","Midnight Purple","","","",skeleton-jumpsuit-M,"350",shopify,"30","deny",manual,22.99,,"TRUE",TRUE,""
"skeleton-jumpsuit","Skeleton Jumpsuit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","L","Color","Midnight Purple","","","",skeleton-jumpsuit-L,"350",shopify,"30","deny",manual,22.99,,"TRUE",TRUE,""
"space-hero-suit","Space Hero Suit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","XS","Color","Midnight Purple","","","",space-hero-suit-XS,"350",shopify,"30","deny",manual,26.99,,"TRUE",TRUE,""
"space-hero-suit","Space Hero Suit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","S","Color","Midnight Purple","","","",space-hero-suit-S,"350",shopify,"30","deny",manual,26.99,,"TRUE",TRUE,""
"space-hero-suit","Space Hero Suit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","M","Color","Midnight Purple","","","",space-hero-suit-M,"350",shopify,"30","deny",manual,26.99,,"TRUE",TRUE,""
"space-hero-suit","Space Hero Suit (Kids)","<p>Kid-friendly costume, comfy and durable.</p>","FluxRetail","Costumes & Accessories > Costumes","Halloween Costume","halloween, kids, costume",TRUE,"Size","L","Color","Midnight Purple","","","",space-hero-suit-L,"350",shopify,"30","deny",manual,26.99,,"TRUE",TRUE,""
